title,description,category,difficulty,estimatedTime,severity,tools,materials,tags,steps,safetyTips,published
Fix Slow Internet Connection,Troubleshoot and improve slow internet speeds,Technology,beginner,15 minutes,medium,none,ethernet cable,internet slow connection wifi,Check internet speed | Use speed test website;Restart router | Unplug for 30 seconds then reconnect;Check connected devices | Disconnect unused devices;Contact ISP | If issues persist call provider,none,true
Unclog Kitchen Sink,Remove blockages from kitchen sink drain,Plumbing,beginner,20 minutes,medium,plunger snake,baking soda vinegar,kitchen sink clog drain blockage,Remove standing water | Clear visible water from sink;Try plunger | Use sink plunger with firm pressure;Use baking soda | Pour 1 cup baking soda down drain;Add vinegar | Pour 1 cup vinegar and wait 15 minutes;Flush with hot water | Pour boiling water to clear,Wear gloves use eye protection,true
Reset Forgotten WiFi Password,Recover or reset WiFi network password,Technology,beginner,10 minutes,low,computer or phone,none,wifi password reset network,Find router label | Check sticker on router for default password;Access router settings | Type 192.168.1.1 in browser;Login to router | Use admin credentials from label;Navigate to wireless settings | Find WiFi password section;Note or change password | Write down current or set new password,none,true
Fix Leaky Faucet,Repair a dripping kitchen or bathroom faucet,Plumbing,intermediate,45 minutes,medium,wrench pliers screwdriver,O-rings washers plumbers tape,faucet leak drip repair,Turn off water supply | Locate shutoff valve under sink;Remove faucet handle | Unscrew handle and remove;Replace O-rings | Remove old O-rings and install new ones;Reassemble faucet | Put handle back and test;Check for leaks | Turn water back on and verify repair,Turn off main water supply if needed,true
Car Won't Start - Dead Battery,Jump start car with dead battery,Automotive,beginner,15 minutes,high,jumper cables,none,car battery dead jump start,Position helper vehicle | Park close enough for cables to reach;Connect positive cable | Red cable to dead battery positive terminal;Connect other positive | Red cable to helper car positive;Connect negative to helper | Black cable to helper negative;Connect final negative | Black cable to dead car ground not battery;Start helper car | Let run for 5 minutes then try starting,Keep metal tools away from terminals,true
Fix Running Toilet,Stop toilet from continuously running,Plumbing,beginner,20 minutes,low,none,flapper chain,toilet running water waste,Remove toilet tank lid | Carefully lift and set aside;Check flapper seal | Ensure flapper sits flat on valve seat;Adjust chain length | Chain should have slight slack;Adjust water level | Bend float arm to correct water level;Test flush | Replace lid and test flush cycle,Wear gloves when handling toilet parts,true
Unlock Frozen Computer,Resolve unresponsive frozen computer,Technology,beginner,5 minutes,medium,none,none,computer frozen unresponsive crash,Wait 30 seconds | Allow time for system to respond;Try Ctrl+Alt+Delete | Attempt to open task manager;Force restart | Hold power button for 10 seconds;Boot in safe mode | Restart and press F8 during boot;Check for overheating | Ensure vents are clear,Save work frequently to prevent data loss,true
Fix Garbage Disposal Jam,Clear jammed garbage disposal unit,Plumbing,intermediate,25 minutes,medium,allen wrench flashlight,none,garbage disposal jam stuck,Turn off power | Switch off at breaker and unit;Remove debris | Use flashlight to check for visible objects;Use allen wrench | Insert into bottom of unit and turn;Reset unit | Press reset button on bottom;Test disposal | Turn power on and test with water,Never put hands in disposal,true
Replace Smoke Detector Battery,Change beeping smoke detector battery,Home Maintenance,beginner,5 minutes,low,none,9V battery,smoke detector battery beeping,Locate beeping detector | Follow sound to find unit;Remove detector | Twist counterclockwise to remove from mount;Replace battery | Remove old battery and insert new one;Test detector | Press test button to verify function;Reinstall detector | Twist clockwise back onto mount,Test monthly and replace batteries annually,true
Fix Clogged Shower Drain,Remove hair and soap buildup from shower drain,Plumbing,beginner,30 minutes,medium,screwdriver pliers,drain snake baking soda,shower drain clog hair blockage,Remove drain cover | Unscrew or lift drain cover;Pull visible hair | Use pliers to remove hair clogs;Use drain snake | Insert snake and twist to catch debris;Apply baking soda | Pour 1/2 cup down drain;Add hot water | Flush with very hot water;Replace cover | Secure drain cover back in place,Wear gloves and ensure good ventilation,true
Troubleshoot Phone Not Charging,Fix phone that won't charge properly,Technology,beginner,10 minutes,medium,none,different charging cable,phone charging battery cable,Check charging cable | Inspect cable for damage or debris;Try different outlet | Test with another wall outlet;Clean charging port | Gently remove lint with toothpick;Try different cable | Use another charging cable;Restart phone | Power off and on to reset system,Avoid using damaged cables,true
Fix Squeaky Door Hinges,Eliminate annoying door squeaking sounds,Home Maintenance,beginner,10 minutes,low,none,WD-40 or oil,door squeak hinge noise,Identify squeaky hinge | Open and close door to locate noise;Clean hinges | Wipe away dirt and old grease;Apply lubricant | Spray WD-40 on hinge pins and pivot points;Work the door | Open and close several times;Wipe excess | Clean away extra lubricant,Avoid over-lubricating to prevent dirt buildup,true
Reset Circuit Breaker,Restore power by resetting tripped breaker,Electrical,beginner,5 minutes,high,flashlight,none,circuit breaker electrical power outage,Locate electrical panel | Find main breaker box;Identify tripped breaker | Look for breaker in middle position;Turn breaker off | Push breaker fully to off position;Turn breaker on | Push breaker firmly to on position;Test power | Check if power is restored to area,Never touch panel with wet hands,true
Fix Washing Machine Not Draining,Resolve washing machine drainage issues,Appliances,intermediate,45 minutes,medium,screwdriver bucket,none,washing machine drain water problem,Check drain hose | Inspect hose for kinks or clogs;Clean lint filter | Remove and clean washing machine filter;Check drain pipe | Ensure drain pipe is not blocked;Inspect pump | Remove front panel and check drain pump;Run test cycle | Start small load to test drainage,Disconnect power before accessing internal parts,true
Unclog Toilet Without Plunger,Clear toilet blockage using alternative methods,Plumbing,beginner,20 minutes,medium,none,dish soap hot water baking soda,toilet clog blockage backup,Add dish soap | Squirt generous amount of dish soap;Let soap sit | Wait 20 minutes for soap to work;Pour hot water | Add hot not boiling water slowly;Add baking soda | Pour 1 cup baking soda if available;Wait and flush | Wait 30 minutes then try flushing,Use hot water not boiling to avoid cracking porcelain,true
Fix Smartphone Screen Not Responding,Resolve unresponsive touchscreen issues,Technology,beginner,15 minutes,medium,microfiber cloth,screen protector,smartphone touch screen unresponsive,Clean screen | Use microfiber cloth to clean thoroughly;Remove screen protector | Take off protector if present;Restart phone | Power off and restart device;Check for moisture | Dry phone completely if wet;Factory reset | Last resort reset to factory settings,Back up data before factory reset,true
