title,description,category,difficulty,estimatedTime,severity,tools,materials,tags,steps,safetyTips,published
Fix Slow WiFi Connection,Troubleshoot and improve slow wireless internet speeds,Technology,beginner,15 minutes,medium,ethernet cable,none,"wifi,slow,internet,connection,speed","Check WiFi signal strength | Move closer to router and check signal bars;Restart router and modem | Unplug for 30 seconds then reconnect;Update network drivers | Download latest drivers from manufacturer","Keep router in central location,Avoid interference from microwaves",true
Replace Broken Light Switch,Install new wall light switch safely,Electrical,intermediate,20 minutes,high,screwdriver,new switch,"light,switch,electrical,wiring,replace","Turn off power at breaker | Switch off circuit breaker for that room;Remove old switch | Unscrew and disconnect wires;Install new switch | Connect wires to matching terminals","Turn off power at breaker,Use voltage tester before touching wires",true
Unclog Kitchen Sink Drain,Remove grease and food blockages from kitchen sink,Plumbing,beginner,25 minutes,medium,"plunger,snake","baking soda,vinegar","sink,clog,drain,kitchen,blockage,grease","Remove standing water | Bail out water with cup or bucket;Try plunger first | Create seal and plunge vigorously;Use baking soda and vinegar | Pour 1 cup each down drain","Wear rubber gloves,Avoid chemical drain cleaners initially",true
Fix Car Won't Start,Diagnose and resolve common car starting problems,Automotive,intermediate,30 minutes,high,"jumper cables,multimeter",car battery,"car,start,battery,engine,ignition,dead","Check battery connections | Clean corrosion from terminals;Test battery voltage | Should read 12.6V with multimeter;Jump start if needed | Connect cables positive to positive","Wear safety glasses,Keep metal away from battery terminals",true
Repair Leaky Toilet,Fix toilet that continuously runs or leaks water,Plumbing,beginner,30 minutes,medium,adjustable wrench,"toilet flapper,chain","toilet,leak,running,water,waste,repair","Remove tank lid carefully | Place on towel to prevent damage;Check flapper seal | Ensure it sits flat on valve seat;Adjust chain tension | Should have slight slack when flapper closed","Handle ceramic parts carefully,Turn off water if major leak",true
Fix Overheating Laptop,Reduce laptop temperature and improve performance,Technology,intermediate,35 minutes,medium,"compressed air,screwdriver",thermal paste,"laptop,overheating,cooling,fan,temperature,performance","Clean air vents | Use compressed air to blow out dust;Check internal fans | Remove bottom panel and inspect fans;Apply new thermal paste | Replace dried thermal compound on CPU","Never use compressed air while laptop is on,Ground yourself before touching components",true
Reset Tripped Circuit Breaker,Restore electrical power after circuit overload,Electrical,beginner,5 minutes,high,flashlight,none,"circuit,breaker,electrical,power,outage,trip","Locate electrical panel | Usually in basement or utility room;Find tripped breaker | Look for switch in middle position;Reset breaker properly | Push fully off then firmly on","Never touch panel with wet hands,Call electrician if breaker trips repeatedly",true
Fix Garbage Disposal Jam,Clear stuck garbage disposal safely,Plumbing,intermediate,20 minutes,medium,"allen wrench,tongs",none,"garbage,disposal,jam,stuck,kitchen,clog","Turn off all power | Switch off at wall and circuit breaker;Remove visible debris | Use tongs never hands to extract objects;Use allen wrench | Turn disposal manually from bottom","Never put hands in disposal,Always turn off power first",true
Replace Smoke Detector Battery,Change beeping smoke detector battery,Home Maintenance,beginner,5 minutes,high,step ladder,9V battery,"smoke,detector,battery,beeping,safety,fire","Locate beeping detector | Follow sound to find correct unit;Remove detector from mount | Twist counterclockwise or pull down;Replace 9V battery | Match positive and negative terminals","Test monthly replace annually,Use stable ladder for ceiling units",true
Fix Squeaky Door Hinges,Eliminate annoying door squeaking noises,Home Maintenance,beginner,10 minutes,low,clean cloth,"WD-40,3-in-1 oil","door,hinge,squeak,noise,lubrication,maintenance","Clean hinge pins | Wipe away dirt and old grease;Apply lubricant sparingly | Spray WD-40 on pivot points;Work door back and forth | Open close several times to distribute","Don't over-lubricate attracts dirt,Keep lubricants away from children",true
