title,description,category,difficulty,estimatedTime,severity,tools,materials,tags,steps,safetyTips,published
Fix Slow WiFi Connection,Troubleshoot and improve slow wireless internet speeds,Technology,beginner,15 minutes,medium,ethernet cable,none,wifi slow internet connection speed,Check WiFi signal strength | Move closer to router and check signal bars;Restart router and modem | Unplug for 30 seconds then reconnect;Update network drivers | Download latest drivers from manufacturer,Keep router in central location,true
Replace Broken Light Switch,Install new wall light switch safely,Electrical,intermediate,20 minutes,high,screwdriver,new switch,light switch electrical wiring replace,Turn off power at breaker | Switch off circuit breaker for that room;Remove old switch | Unscrew and disconnect wires;Install new switch | Connect wires to matching terminals,Turn off power at breaker,true
Unclog Kitchen Sink Drain,Remove grease and food blockages from kitchen sink,Plumbing,beginner,25 minutes,medium,plunger snake,baking soda vinegar,sink clog drain kitchen blockage grease,Remove standing water | Bail out water with cup or bucket;Try plunger first | Create seal and plunge vigorously;Use baking soda and vinegar | Pour 1 cup each down drain,Wear rubber gloves,true
Fix Car Won't Start,Diagnose and resolve common car starting problems,Automotive,intermediate,30 minutes,high,jumper cables multimeter,car battery,car start battery engine ignition dead,Check battery connections | Clean corrosion from terminals;Test battery voltage | Should read 12.6V with multimeter;Jump start if needed | Connect cables positive to positive,Wear safety glasses,true
Repair Leaky Toilet,Fix toilet that continuously runs or leaks water,Plumbing,beginner,30 minutes,medium,adjustable wrench,toilet flapper chain,toilet leak running water waste repair,Remove tank lid carefully | Place on towel to prevent damage;Check flapper seal | Ensure it sits flat on valve seat;Adjust chain tension | Should have slight slack when flapper closed,Handle ceramic parts carefully,true
Fix Overheating Laptop,Reduce laptop temperature and improve performance,Technology,intermediate,35 minutes,medium,compressed air screwdriver,thermal paste,laptop overheating cooling fan temperature performance,Clean air vents | Use compressed air to blow out dust;Check internal fans | Remove bottom panel and inspect fans;Apply new thermal paste | Replace dried thermal compound on CPU,Never use compressed air while laptop is on,true
Reset Tripped Circuit Breaker,Restore electrical power after circuit overload,Electrical,beginner,5 minutes,high,flashlight,none,circuit breaker electrical power outage trip,Locate electrical panel | Usually in basement or utility room;Find tripped breaker | Look for switch in middle position;Reset breaker properly | Push fully off then firmly on,Never touch panel with wet hands,true
Fix Garbage Disposal Jam,Clear stuck garbage disposal safely,Plumbing,intermediate,20 minutes,medium,allen wrench tongs,none,garbage disposal jam stuck kitchen clog,Turn off all power | Switch off at wall and circuit breaker;Remove visible debris | Use tongs never hands to extract objects;Use allen wrench | Turn disposal manually from bottom,Never put hands in disposal,true
Replace Smoke Detector Battery,Change beeping smoke detector battery,Home Maintenance,beginner,5 minutes,high,step ladder,9V battery,smoke detector battery beeping safety fire,Locate beeping detector | Follow sound to find correct unit;Remove detector from mount | Twist counterclockwise or pull down;Replace 9V battery | Match positive and negative terminals,Test monthly replace annually,true
Fix Squeaky Door Hinges,Eliminate annoying door squeaking noises,Home Maintenance,beginner,10 minutes,low,clean cloth,WD-40 3-in-1 oil,door hinge squeak noise lubrication maintenance,Clean hinge pins | Wipe away dirt and old grease;Apply lubricant sparingly | Spray WD-40 on pivot points;Work door back and forth | Open close several times to distribute,Don't over-lubricate attracts dirt,true
Troubleshoot Phone Not Charging,Fix smartphone that won't charge properly,Technology,beginner,15 minutes,medium,soft brush,charging cable wall adapter,phone charging battery cable port power,Check charging cable | Inspect for damage or bent connectors;Try different power outlet | Test with known working outlet;Clean charging port | Gently remove lint with soft brush,Avoid using damaged cables,true
Fix Running Toilet Water,Stop toilet from wasting water continuously,Plumbing,beginner,20 minutes,low,adjustable wrench,toilet chain flapper,toilet running water waste chain flapper,Remove toilet tank lid | Handle carefully ceramic breaks easily;Check flapper position | Should seal completely against seat;Adjust chain length | Needs slight slack not too tight,Handle tank lid with care,true
Replace Car Air Filter,Change dirty engine air filter for better performance,Automotive,beginner,15 minutes,low,none,new air filter,car air filter engine maintenance replace,Locate air filter box | Rectangular housing near engine;Remove old filter | Note direction before removing;Install new filter | Arrows should point toward engine,Check filter every 12000 miles,true
Fix Slow Computer Performance,Speed up sluggish computer operations,Technology,intermediate,45 minutes,medium,external drive,none,computer slow performance speed optimization windows,Disable startup programs | Use Task Manager to manage startup items;Clear temporary files | Delete temp files and browser cache;Run antivirus scan | Check for malware and viruses,Backup important files first,true
Repair Dripping Faucet,Fix leaky kitchen or bathroom faucet,Plumbing,intermediate,40 minutes,medium,wrench screwdriver,O-rings washers plumbers tape,faucet leak drip repair water waste,Turn off water supply | Locate shutoff valves under sink;Disassemble faucet handle | Take photos during disassembly;Replace worn O-rings | Bring old parts to hardware store,Turn off main water if valves stuck,true
Fix Dishwasher Not Cleaning,Improve dishwasher cleaning performance,Appliances,beginner,30 minutes,medium,old toothbrush,dishwasher cleaner white vinegar,dishwasher cleaning dishes soap performance maintenance,Check spray arms | Remove and clean clogged holes with toothpick;Clean dishwasher filter | Usually located at bottom of tub;Run cleaning cycle | Use dishwasher cleaner or white vinegar,Don't pre-rinse dishes completely,true
Replace Windshield Wipers,Install new wiper blades for clear visibility,Automotive,beginner,10 minutes,low,none,new wiper blades,wipers windshield visibility rain safety replace,Lift wiper arms up | Pull away from windshield carefully;Remove old blades | Press release tab and slide off;Install new blades | Slide on until clicking into place,Be gentle arms can snap back,true
Fix Ceiling Fan Wobbling,Stop ceiling fan from shaking and vibrating,Electrical,intermediate,35 minutes,medium,screwdriver,balancing kit cleaning supplies,ceiling fan wobble balance vibration noise,Turn off power first | Switch off at wall and breaker;Tighten all screws | Check mounting bracket and blade screws;Balance fan blades | Use balancing kit to add weights,Turn off power before working,true
Fix AC Not Cooling,Troubleshoot air conditioner cooling problems,HVAC,intermediate,40 minutes,high,none,air filter outdoor unit cleaner,air conditioning cooling temperature hvac repair,Check thermostat settings | Ensure cooling mode and correct temperature;Replace dirty filter | Install clean filter if clogged;Clear outdoor unit | Remove debris from around condenser,Turn off power before cleaning,true
Unclog Shower Drain,Remove hair and soap buildup from shower,Plumbing,beginner,25 minutes,medium,drain snake rubber gloves,none,shower drain clog hair soap blockage,Remove drain cover | Unscrew or lift out shower drain cover;Pull out visible debris | Use gloves to remove hair buildup;Snake the drain | Use drain snake for deeper blockages,Wear gloves drain contents unsanitary,true
Fix Microwave Not Heating,Repair microwave that runs but doesn't heat food,Appliances,intermediate,30 minutes,medium,multimeter,replacement parts,microwave heating repair magnetron safety appliance,Test with water | Heat cup of water to verify heating function;Check door seals | Ensure door closes completely and seals;Inspect magnetron | High voltage component may need professional service,Microwaves contain high voltage components,true
Replace Toilet Handle,Fix loose or broken toilet flush handle,Plumbing,beginner,15 minutes,low,adjustable wrench screwdriver,replacement handle,toilet handle flush loose broken repair,Remove tank lid | Lift off carefully and set aside safely;Disconnect old handle | Unscrew mounting nut from inside tank;Install new handle | Connect arm and adjust chain length,Handle ceramic lid carefully,true
Fix Laptop Screen Flickering,Resolve laptop display flickering issues,Technology,intermediate,25 minutes,medium,soft cloth,none,laptop screen display flickering graphics driver,Update graphics drivers | Download latest drivers from manufacturer;Check display cables | Reseat internal display connections;Adjust refresh rate | Change display refresh rate settings,Ground yourself before touching internal components,true
Repair Garbage Disposal Leaking,Fix water leak from garbage disposal unit,Plumbing,intermediate,45 minutes,medium,pipe wrench screwdriver,plumbers putty replacement gaskets,garbage disposal leak plumbing kitchen repair,Turn off power and water | Switch off electrical and water supply;Identify leak source | Check top mounting bottom or drain connections;Replace worn gaskets | Apply new plumbers putty as needed,Always turn off power first,true
Fix Car Overheating,Address engine overheating emergency safely,Automotive,intermediate,60 minutes,high,funnel rags,coolant distilled water,car overheating coolant radiator engine emergency,Pull over immediately | Turn off engine let cool 30+ minutes;Check coolant level | Inspect reservoir and radiator when cool;Add coolant mixture | Use 50/50 coolant and water mixture,Never open hot radiator cap,true
Replace Light Bulb Safely,Change various types of light bulbs,Electrical,beginner,5 minutes,low,step ladder,replacement bulb,light bulb replace electrical safety fixture,Turn off power | Switch off light at wall switch;Remove old bulb | Turn counterclockwise to unscrew;Install new bulb | Turn clockwise but don't overtighten,Let hot bulbs cool first,true
Fix Washing Machine Won't Drain,Resolve drainage issues in washing machine,Appliances,intermediate,50 minutes,medium,screwdriver bucket,none,washing machine drain water pump appliance,Check drain hose | Look for kinks or clogs in drainage hose;Clean lint filter | Remove and wash filter thoroughly;Inspect drain pump | Check for debris blocking pump operation,Disconnect power before internal work,true
